Season,Team,G,Pts,Avg,2FG,2FG_%,3FG,3FG_%,FT,FT_%,Reb,St,As,Bl,full_name
2020-21,FC Bayern Munich,1,0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,"FLACCADORI, DIEGO"
2016-17,EA7 Emporio Armani Milan,10,33,3.3,6/13,46.2,7/17,41.2,0/0,0,15,5,8,1,"FONTECCHIO, SIMONE"
2017-18,AX Armani Exchange Olimpia Milan,2,0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,"FONTECCHIO, SIMONE"
2018-19,AX Armani Exchange Olimpia Milan,5,0,0,0/0,0,0/2,0,0/0,0,0,0,0,0,"FONTECCHIO, SIMONE"
2020-21,ALBA Berlin,4,49,12.3,14/22,63.6,5/13,38.5,6/6,100,16,3,3,0,"FONTECCHIO, SIMONE"
2020-21,Panathinaikos OPAP Athens,4,55,13.8,13/28,46.4,7/14,50,8/12,66.7,8,5,8,0,"FOSTER, MARCUS"
2020-21,LDLC ASVEL Villeurbanne,2,8,4,1/5,20,1/5,20,3/3,100,2,1,1,0,"FREEMAN, ALLERIK"
2009-10,Khimki,16,104,6.5,13/28,46.4,17/52,32.7,27/28,96.4,39,6,32,2,"FRIDZON, VITALY"
2010-11,Khimki Moscow Region,9,74,8.2,11/32,34.4,10/32,31.3,22/29,75.9,37,6,13,1,"FRIDZON, VITALY"
2012-13,Khimki Moscow Region,24,273,11.4,60/130,46.2,38/88,43.2,39/48,81.3,59,24,52,2,"FRIDZON, VITALY"
2013-14,CSKA Moscow,31,232,7.5,31/56,55.4,47/94,50,29/34,85.3,48,14,33,3,"FRIDZON, VITALY"
2014-15,CSKA Moscow,23,180,7.8,28/68,41.2,30/71,42.3,34/39,87.2,53,17,33,2,"FRIDZON, VITALY"
2015-16,CSKA Moscow,27,172,6.4,26/48,54.2,30/70,42.9,30/36,83.3,46,17,24,1,"FRIDZON, VITALY"
2016-17,CSKA Moscow,35,208,5.9,45/77,58.4,25/60,41.7,43/50,86,42,20,27,10,"FRIDZON, VITALY"
2017-18,CSKA Moscow,30,86,2.9,16/44,36.4,13/34,38.2,15/17,88.2,21,8,11,2,"FRIDZON, VITALY"
2020-21,Zenit St Petersburg,2,7,3.5,2/3,66.7,1/1,100,0/0,0,1,0,1,0,"FRIDZON, VITALY"
2017-18,KIROLBET Baskonia Vitoria Gasteiz,23,104,4.5,30/55,54.5,6/22,27.3,26/31,83.9,39,23,15,3,"GARINO, PATRICIO"
2018-19,KIROLBET Baskonia Vitoria-Gasteiz,18,100,5.6,19/33,57.6,16/36,44.4,14/19,73.7,25,13,6,2,"GARINO, PATRICIO"
2019-20,KIROLBET Baskonia Vitoria-Gasteiz,10,67,6.7,8/25,32,8/25,32,27/29,93.1,35,5,6,1,"GARINO, PATRICIO"
2019-20,Real Madrid,14,61,4.4,23/31,74.2,2/6,33.3,9/18,50,40,12,6,4,"GARUBA, USMAN"
